0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.11642384,0.30456856,0.029044034,0.10206773,0.0033636915,-0.41578263,0.275646,0.8128563,-0.42786774,-0.0939716,-0.015854837,-0.57014483,-0.021863502,0.17926796,-0.059321906,-0.26471207,0.18823752,-0.3282486,-0.07292338,-0.8190457,0.17488198,0.10360775,0.25991762,-0.1969476,-0.13262758,0.093444705,-0.17475103,-0.18553232,-0.283356,-0.012621142,0.40569937,0.05995124,0.26277098,-0.3346614,-0.2587362,0.40055582,0.14114207,-0.12430959,-0.26856095,-0.4292127,0.15435828,-0.15338299,-0.23083341,0.0013734794,0.264307,-0.15261094,-0.16190459,-0.13250077,0.3482903,0.09901193,0.12670055,-0.21536948,-0.19942485,-0.049738545,-0.2092601,0.016881159,0.16468726,-0.11101615,-0.30581337,0.33018,0.19044048,-0.0075440165,0.21655205,-0.07409929,-0.53599304,0.31433573,0.04072446,0.37971094,-0.46124578,0.21815038,-0.21551476,0.16198027,0.3455659,0.09722445,0.47190976,0.11779611,0.07686319,-0.0045985267,-0.35562253,0.0676069,-0.27929103,-0.033112533,-0.4430452,0.43819296,-0.22779831,-0.13285549,0.22393729,0.5586872,0.36231297,0.055376787,0.54915637,0.22904404,0.05197234,0.03226412,0.7213809,0.15062298,0.25938666,-0.30527824,0.26537186,-0.0586707
-0.110832475,0.28762904,0.025083438,0.0975394,0.0050800988,-0.39518175,0.26425663,0.7720916,-0.4042307,-0.08619637,-0.013738639,-0.5378613,-0.020588018,0.17099617,-0.06133354,-0.25108784,0.17745839,-0.3103733,-0.066142865,-0.7746332,0.16729957,0.09751788,0.24515826,-0.1827511,-0.12618642,0.08866507,-0.16438122,-0.17657076,-0.26766303,-0.013936826,0.38584045,0.05851565,0.24933465,-0.31710607,-0.24171476,0.3800999,0.1335408,-0.11776135,-0.2535486,-0.40755537,0.14500354,-0.14577396,-0.22011061,-0.00076566264,0.24898474,-0.1425366,-0.15456514,-0.12709673,0.3319592,0.09360119,0.121647865,-0.19980572,-0.19006865,-0.047519412,-0.19778079,0.013958778,0.15607302,-0.10566432,-0.2890375,0.3137884,0.1802456,-0.00980068,0.20346902,-0.071413614,-0.50865924,0.29442972,0.040134646,0.35777345,-0.43644825,0.20644332,-0.20669128,0.15190598,0.32510462,0.09172201,0.44751227,0.11080847,0.07214717,-0.0031772174,-0.33733964,0.06659323,-0.2675093,-0.030667879,-0.420675,0.41465676,-0.2213109,-0.12764265,0.21383756,0.5280811,0.34332833,0.050764903,0.51700926,0.21817845,0.049948994,0.028104605,0.68492025,0.13793175,0.24468076,-0.2918557,0.25014752,-0.055240143
-0.10949733,0.28366235,0.029022524,0.09404477,0.0041504297,-0.39185375,0.26077133,0.76844096,-0.4005304,-0.08759552,-0.016731674,-0.5360323,-0.021429768,0.17273901,-0.058847282,-0.252215,0.1764253,-0.3092702,-0.06385393,-0.7710227,0.16809762,0.09801339,0.24259076,-0.18553169,-0.12432423,0.08675048,-0.16860579,-0.17353146,-0.26615995,-0.012060766,0.3806702,0.05938384,0.2464555,-0.31438634,-0.24457757,0.37848148,0.13250136,-0.1177052,-0.2561548,-0.40322566,0.14696291,-0.1440742,-0.21743378,0.0009412922,0.25025487,-0.1441644,-0.15385263,-0.12648532,0.33199018,0.09407122,0.11900927,-0.20214826,-0.18851921,-0.04827661,-0.19827877,0.015456225,0.15619738,-0.101967,-0.2859185,0.31412834,0.18033458,-0.008214201,0.20568761,-0.069688,-0.5064534,0.29271063,0.038142294,0.3562528,-0.43648508,0.20865758,-0.20342559,0.15497568,0.3259055,0.08916351,0.44819552,0.108548775,0.074103214,-0.0066046463,-0.33757174,0.06973929,-0.2645858,-0.030815035,-0.42052704,0.4139424,-0.21627253,-0.1245252,0.21263716,0.5277534,0.34264648,0.05290757,0.5192499,0.21657614,0.048281502,0.02424777,0.6784647,0.14021997,0.2451523,-0.2899591,0.254668,-0.054445077
-0.10186095,0.2709979,0.02239608,0.091012955,0.00065996044,-0.36720496,0.24278207,0.7272059,-0.38255703,-0.081337646,-0.015525838,-0.50843716,-0.020908918,0.16128546,-0.05346964,-0.235984,0.16518445,-0.2949476,-0.06559171,-0.7280356,0.155436,0.09174877,0.2329734,-0.17699607,-0.118558966,0.078614645,-0.15753195,-0.16894749,-0.25418228,-0.014246881,0.36431122,0.04979937,0.23523527,-0.29810482,-0.2310192,0.35932976,0.1258144,-0.11018812,-0.24064906,-0.38616717,0.13711241,-0.13584708,-0.20564523,0.0010595382,0.23445892,-0.13476655,-0.14407323,-0.11760791,0.31297424,0.08954844,0.111902185,-0.19424917,-0.17592351,-0.042277966,-0.18562923,0.016247544,0.14671294,-0.099798225,-0.2740876,0.29272687,0.16919076,-0.0069982386,0.1914807,-0.068962954,-0.47500372,0.2809237,0.036285486,0.33307764,-0.41107422,0.1951022,-0.1906403,0.14563051,0.3098585,0.0859514,0.415295,0.10615477,0.072447695,-0.00495706,-0.31863564,0.062176827,-0.24985847,-0.030493574,-0.3991332,0.3886558,-0.2030501,-0.11987763,0.19964707,0.49815887,0.32417485,0.052421723,0.4893385,0.20465733,0.044363737,0.02639922,0.6433007,0.1351976,0.22717668,-0.27303877,0.23920183,-0.05308311
-0.11148478,0.2922765,0.027561659,0.099601515,0.005736259,-0.40507418,0.26838985,0.7957473,-0.41895294,-0.088749036,-0.01896084,-0.5564852,-0.024567591,0.17752926,-0.061409764,-0.26039279,0.184628,-0.31906793,-0.07202691,-0.7984771,0.17207228,0.100551195,0.25221714,-0.19208671,-0.12833712,0.08778981,-0.17044272,-0.1811571,-0.27723643,-0.009847102,0.3957341,0.05835779,0.25741228,-0.32754338,-0.25616655,0.3906288,0.13632382,-0.12088289,-0.26210767,-0.41921836,0.15201817,-0.14686252,-0.22426604,0.0025448522,0.254368,-0.15083857,-0.15677696,-0.12991783,0.34333476,0.09866602,0.12310746,-0.2122346,-0.19393922,-0.051420227,-0.20171562,0.015375347,0.16309392,-0.10914811,-0.29808545,0.32255694,0.18228923,-0.009107744,0.21113245,-0.073228076,-0.52359354,0.3061463,0.04047946,0.36869323,-0.45002365,0.21544914,-0.2103127,0.15800518,0.33711734,0.09142845,0.460397,0.11302305,0.07842259,-0.0057798373,-0.34861776,0.066683106,-0.2734085,-0.0318234,-0.4356149,0.42798305,-0.22418061,-0.13000411,0.21713394,0.54464364,0.35200435,0.056889173,0.5380695,0.22414711,0.05331137,0.027919749,0.7023277,0.14687815,0.2517929,-0.29842418,0.26193142,-0.057230435
-0.10411443,0.2699886,0.026039407,0.08884188,0.006175482,-0.3726256,0.24806637,0.7278699,-0.3862345,-0.087433785,-0.015065784,-0.51284623,-0.018306581,0.16068433,-0.052359726,-0.23972952,0.16727495,-0.29548728,-0.06376862,-0.7377446,0.15592593,0.09242008,0.23072,-0.1766665,-0.12043151,0.08157173,-0.1582853,-0.16877034,-0.2524889,-0.01241681,0.36296463,0.053812247,0.23314516,-0.29963475,-0.23242897,0.36091244,0.12487289,-0.11027434,-0.24283054,-0.38723835,0.14348173,-0.13666563,-0.20748012,0.0028850294,0.23755011,-0.13726556,-0.14513864,-0.11920027,0.3126842,0.091986574,0.1123337,-0.19484085,-0.17399864,-0.047451664,-0.18702717,0.01193074,0.14710748,-0.097357936,-0.27705765,0.29532805,0.17168643,-0.005018533,0.19676648,-0.06730617,-0.4814532,0.28098854,0.038869083,0.34066918,-0.4149584,0.1970494,-0.19258161,0.14927685,0.31152216,0.08617523,0.42386043,0.10829635,0.07044792,-0.004014587,-0.3185865,0.06189648,-0.25008965,-0.02878207,-0.40201357,0.390976,-0.20533751,-0.1207112,0.20152976,0.5028911,0.32782766,0.0517889,0.49353197,0.20443188,0.048278235,0.02953964,0.6476502,0.1369836,0.22854806,-0.27523673,0.24146235,-0.052983638
-0.11322056,0.29457733,0.028162912,0.097136706,0.0055916253,-0.4028184,0.267114,0.7913899,-0.41581905,-0.09106029,-0.014277566,-0.55573016,-0.023580052,0.17671515,-0.05800355,-0.25821266,0.1831702,-0.31871146,-0.07092999,-0.7955115,0.1705371,0.10098929,0.25400957,-0.1911217,-0.12926704,0.09192637,-0.17078756,-0.1823968,-0.2744296,-0.01160844,0.3954599,0.05783236,0.2523582,-0.32477406,-0.25283808,0.3921983,0.13565923,-0.12110752,-0.26088384,-0.41681102,0.15159324,-0.14789699,-0.22376336,0.0014735872,0.2576288,-0.14794472,-0.15630244,-0.13048251,0.3411244,0.09668413,0.123607166,-0.21106842,-0.19385098,-0.050391223,-0.2027725,0.015015658,0.16284649,-0.10807766,-0.2989042,0.3215084,0.18571077,-0.008017648,0.21231525,-0.07233373,-0.5221923,0.30505118,0.040647745,0.36845717,-0.45032123,0.21367654,-0.20858267,0.15758954,0.33889413,0.09467911,0.4578595,0.112734035,0.074712835,-0.0038479792,-0.34624484,0.06682206,-0.27343535,-0.03283088,-0.43356508,0.42375946,-0.2221937,-0.131056,0.21720675,0.54451776,0.35427997,0.052001502,0.5350691,0.22394781,0.051004108,0.029268451,0.70266545,0.1489508,0.25365305,-0.2969275,0.25920326,-0.056871157
-0.11370746,0.2942335,0.027653318,0.0989821,0.004833229,-0.4062196,0.26818618,0.79522145,-0.41786858,-0.08751483,-0.016082702,-0.5545378,-0.021614892,0.17602603,-0.05859946,-0.25861603,0.1821141,-0.31984633,-0.06997659,-0.7995598,0.1699408,0.100062795,0.25025654,-0.19288795,-0.12720637,0.088555455,-0.1711194,-0.18203655,-0.27552631,-0.012188109,0.39661816,0.059094828,0.2548192,-0.32487896,-0.2523575,0.39292213,0.13663232,-0.119721346,-0.2611129,-0.42067215,0.15267591,-0.1509933,-0.22656,0.0012671448,0.25639686,-0.14944437,-0.15967444,-0.12743218,0.34093982,0.09719558,0.12516531,-0.20925742,-0.19346184,-0.048726168,-0.20197044,0.01625345,0.16190776,-0.10867738,-0.29910472,0.32156593,0.18578608,-0.0075958674,0.21163487,-0.073038176,-0.5224359,0.30525357,0.04141653,0.36919677,-0.45042637,0.2132395,-0.20918848,0.15641788,0.33576253,0.09346877,0.46001196,0.113542534,0.07474975,-0.0046748207,-0.34670532,0.06879145,-0.27319363,-0.031291753,-0.4334202,0.42721137,-0.22321199,-0.13003665,0.21813834,0.5450506,0.35398325,0.05398737,0.53522265,0.22518104,0.051381085,0.029437073,0.7053223,0.14695026,0.25006393,-0.29862204,0.2599383,-0.056638066
-0.12679447,0.33253416,0.030196872,0.11447497,0.0063873697,-0.4573684,0.3060216,0.8986625,-0.47150478,-0.10100017,-0.019224688,-0.6247776,-0.022690743,0.19839275,-0.06704403,-0.29225412,0.2050164,-0.3607951,-0.07752236,-0.9040331,0.19442783,0.111619264,0.2818212,-0.21746974,-0.14751652,0.09906649,-0.19236533,-0.20485146,-0.31153932,-0.016720736,0.44691086,0.06706764,0.2879175,-0.36409044,-0.28433612,0.44363007,0.15386513,-0.13438208,-0.29550114,-0.47286603,0.17194134,-0.16920769,-0.2555936,0.003416026,0.2904077,-0.16801213,-0.17777406,-0.14871454,0.38581866,0.10926464,0.14025483,-0.23594832,-0.21739519,-0.054980494,-0.22999792,0.016668271,0.1824228,-0.12264322,-0.33842704,0.36246905,0.20998253,-0.010890717,0.2384965,-0.0850531,-0.592659,0.34221908,0.04487533,0.41541725,-0.50862217,0.24097462,-0.23902164,0.18004005,0.3798271,0.1040309,0.52174956,0.12829433,0.086665995,-0.003303849,-0.39388272,0.07752292,-0.30983475,-0.034517,-0.4909854,0.48147953,-0.25422677,-0.14640976,0.24550073,0.6149182,0.40265918,0.06224939,0.6030818,0.25196716,0.058265083,0.03348514,0.7962903,0.16375442,0.28338128,-0.33680928,0.29398066,-0.06267428
-0.11546529,0.3075053,0.030408798,0.10328953,0.007361396,-0.42384478,0.28295207,0.83136696,-0.43667448,-0.0936312,-0.018652832,-0.5779998,-0.022606185,0.18591842,-0.06355544,-0.27012855,0.19184254,-0.3326928,-0.0710724,-0.8371829,0.18321586,0.10420573,0.26429874,-0.19928011,-0.13327669,0.09307894,-0.17903562,-0.18892108,-0.28862798,-0.013888588,0.41334417,0.06254338,0.2676345,-0.34054768,-0.26349798,0.4102137,0.1421934,-0.12576765,-0.27408218,-0.4386608,0.15790641,-0.15557723,-0.23416068,0.0026385495,0.2683146,-0.15548211,-0.16675481,-0.13839138,0.3576061,0.10215184,0.12918337,-0.21836987,-0.20436352,-0.052410804,-0.21223827,0.014061949,0.17155075,-0.1129191,-0.31359255,0.33715728,0.19264497,-0.011099046,0.2195871,-0.07540536,-0.5497642,0.3178268,0.040552553,0.38413617,-0.46954358,0.2253167,-0.22261956,0.16559517,0.35091934,0.09659613,0.48157418,0.115999624,0.079424314,-0.0046328264,-0.36444736,0.07260003,-0.2859763,-0.034142982,-0.45548293,0.4478461,-0.23560198,-0.13404493,0.22893882,0.56917095,0.36995912,0.058201913,0.5602523,0.23348373,0.053140078,0.028946597,0.73650813,0.15406251,0.2625698,-0.31340864,0.27058408,-0.058912832
