0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.15126213,0.40202576,0.07247444,0.1377203,0.06066541,-0.4018289,0.17019558,0.5447278,-0.22700767,-0.11307785,0.05349151,-0.17456256,-0.08783211,0.09895642,0.3050703,-0.015354438,0.26205063,0.07891875,-0.23892166,-0.6797759,0.09796579,0.11192321,0.41070223,-0.07415834,-0.02771034,-0.19043316,-0.42726105,-0.051793963,-0.40145236,0.0087765325,0.01389928,-0.10920795,0.3619242,-0.41684273,-0.10672008,0.120942876,0.11455299,0.040084314,-0.26827025,-0.31534886,-0.014898109,-0.16049476,-0.111105695,0.008946935,0.0126932,-0.2030405,-0.104468346,-0.07025912,0.2361429,0.37127626,0.0584028,-0.2836713,-0.19858418,-0.24906528,0.14571503,-0.19936003,0.21270257,0.12304718,-0.27743998,-0.045039512,-0.12822679,-0.0791431,0.28868085,0.1698203,-0.08281743,0.43285945,0.44336027,0.35895884,-0.40187865,0.3170842,0.05872613,-0.050680965,0.3210662,-0.0068873945,0.36154336,0.17956187,-0.018850567,0.17779593,-0.29661286,-0.1585206,-0.27017418,-0.15958084,-0.13293804,0.4193826,-0.16701669,-0.121114455,0.12042555,0.14625257,0.26200956,0.18298203,0.48269987,0.15599288,0.03910883,-0.21964782,0.52173126,0.34622648,0.17925347,-0.01677469,-0.04696406,-0.08980196
-0.23137644,0.43595606,0.0697806,0.059508316,0.062486496,-0.34209642,0.16857441,0.6023068,-0.17945786,-0.13965832,0.10132783,-0.17158274,-0.058021825,0.106179,0.34952694,-0.06819181,0.32851017,0.03810441,-0.23715696,-0.6842837,0.0043148133,0.047143046,0.35067764,-0.013284263,-0.06450028,-0.15108284,-0.3886508,-0.091669135,-0.36182433,-0.028535761,0.019425746,-0.045800358,0.26381502,-0.45087716,-0.10584592,0.1638724,0.11429405,-0.034407634,-0.3462294,-0.28060213,-0.048438974,-0.17202036,-0.06161371,0.05788305,0.0006007333,-0.30259898,-0.06404192,-0.07139928,0.19474313,0.3825371,0.057659313,-0.1683814,-0.27484366,-0.21760532,0.02699837,-0.22843784,0.21275331,0.053666674,-0.25623754,-0.035883956,-0.106177226,-0.12471732,0.38579014,0.19548956,-0.111187056,0.46914354,0.4257012,0.30427575,-0.39739382,0.32793623,0.17593911,0.0653417,0.22350574,0.057396498,0.38745856,0.28001416,0.049209796,0.24414095,-0.3016442,-0.10913276,-0.31596124,-0.2370847,-0.0780611,0.3088042,-0.27820024,-0.10550941,0.17394143,0.16787733,0.22707224,0.12761427,0.46930787,0.111856036,0.04294849,-0.25014168,0.54046637,0.36062396,0.12586243,-0.08041766,0.02143933,-0.07572135
-0.22257242,0.3485401,0.019453788,0.036078244,0.111437276,-0.4523778,0.099690214,0.6270315,-0.15644434,-0.27189064,0.13405178,-0.121024646,-0.07382634,0.1784026,0.351965,-0.02852422,0.357742,-0.012445001,-0.2515277,-0.7349543,-0.0041138264,0.008254081,0.45436764,-0.109524004,-0.04936128,-0.19576092,-0.4568365,-0.054107238,-0.35864675,0.032398306,-0.000746373,-0.10534218,0.30806017,-0.48188967,-0.08600228,0.11201847,0.15086296,-0.04598302,-0.2720164,-0.22244515,0.012631289,-0.23544459,-0.04157319,0.03237341,-0.00058751466,-0.3463341,-0.03374421,-0.1270128,0.21690594,0.3545962,0.1230489,-0.23821016,-0.22652286,-0.13585477,0.15939772,-0.2518373,0.24591012,0.13338728,-0.2892486,0.018660517,-0.15611555,-0.1349067,0.48148823,0.27472213,-0.13808225,0.5878871,0.5283512,0.25432122,-0.34096292,0.33781385,0.17267497,-0.017884972,0.2659304,0.10705383,0.4047706,0.21855736,-0.033348754,0.22269993,-0.35248265,-0.19998787,-0.3136332,-0.14325252,-0.09706055,0.38672355,-0.19993821,-0.07434717,0.19792502,0.1703473,0.23866805,0.1983964,0.5111062,0.14381036,-0.014444407,-0.32191023,0.5091879,0.3633597,0.16588587,-0.043301385,-0.01099707,-0.046279505
-0.11265154,0.39376754,0.07926073,0.16957371,0.054154884,-0.44861972,0.13361819,0.583202,-0.22652453,-0.14215642,0.026360353,-0.15373054,-0.10981104,0.10918146,0.31715038,0.026245117,0.23858273,0.03127751,-0.27900848,-0.65424216,0.063210145,0.13259317,0.42689577,-0.13607042,-0.05332872,-0.20192504,-0.408798,-0.040845785,-0.38079977,0.055851627,0.060149115,-0.13703558,0.38273597,-0.42474598,-0.1379507,0.10473186,0.17850761,0.052634306,-0.264198,-0.3586295,-0.0072661242,-0.12532178,-0.11825543,-0.0172995,0.038976856,-0.21163933,-0.11062019,-0.04287121,0.19507809,0.3562693,0.022847135,-0.30975667,-0.16418591,-0.18854368,0.1582595,-0.1957977,0.21627426,0.11786026,-0.27744156,-0.0011240114,-0.08584777,-0.0639738,0.31595334,0.17753184,-0.10362982,0.4393089,0.434601,0.31699383,-0.43194523,0.33152854,0.040416174,-0.012224613,0.31196672,0.0032870828,0.34272146,0.13534106,-0.021909585,0.17045118,-0.30868343,-0.2867774,-0.1598206,-0.12846716,-0.13341877,0.45170546,-0.14776182,-0.072536215,0.09285548,0.17624299,0.2044296,0.22479111,0.5028713,0.1441835,0.01454958,-0.22346032,0.51056457,0.37064716,0.18023227,-0.04221348,0.03050272,-0.04317125
-0.16502185,0.43808517,0.059437897,0.16032156,0.040278036,-0.4192509,0.14222723,0.59382546,-0.23616728,-0.11836339,0.07343245,-0.15887903,-0.100898236,0.12349724,0.4038798,-0.027862422,0.3009088,0.022387562,-0.26592878,-0.6831597,0.041296013,0.09090224,0.38446853,-0.023865102,-0.07798529,-0.18999833,-0.43521908,-0.05496939,-0.40470386,0.012514713,-0.024745826,-0.12187374,0.37949044,-0.48241132,-0.121551305,0.15877347,0.18684553,0.022679629,-0.3541152,-0.2876847,-0.06972135,-0.15087223,-0.08027449,-0.017799651,-0.017499883,-0.2572851,-0.09635524,0.009151051,0.1941207,0.36624077,-0.012483788,-0.2686973,-0.23363057,-0.17790471,0.18625526,-0.24642149,0.24125782,0.118778825,-0.24841054,0.00823082,-0.16052495,-0.12020095,0.34574687,0.21215701,-0.114358485,0.47537482,0.4826742,0.3182561,-0.4455094,0.39259723,0.14858314,-0.005611318,0.282301,0.0017750184,0.3915475,0.20835386,0.03816,0.20639858,-0.29700837,-0.25254613,-0.22506471,-0.18824962,-0.09647708,0.38767537,-0.25435257,-0.09778829,0.096753284,0.23213749,0.23715578,0.21559793,0.5353278,0.12883066,-0.008549253,-0.25755182,0.52346,0.3717417,0.1752063,-0.034923118,-0.005975211,-0.07723963
-0.24548784,0.4336421,0.14732859,0.09359207,0.072505146,-0.34516758,0.18656704,0.46306065,-0.20544952,-0.105751716,0.10461638,-0.20536913,-0.07490319,0.05265363,0.2877678,-0.087993875,0.3256089,0.12832779,-0.22568496,-0.641754,0.12702699,0.09405873,0.38850823,-0.0071421745,-0.023938755,-0.14464384,-0.37565985,-0.0940012,-0.36500365,-0.017405719,0.026204403,0.0023428446,0.26873767,-0.43271086,-0.10536813,0.15474941,0.17571034,0.010844892,-0.35622466,-0.29138502,-0.0043455614,-0.1293713,-0.12686251,0.025373096,-0.024484703,-0.266499,-0.072925225,-0.08819219,0.24599302,0.3503779,0.10647824,-0.21524338,-0.20645809,-0.2739289,0.01656915,-0.2153495,0.2054274,0.0701415,-0.24554095,-0.072112955,-0.091887824,-0.07823083,0.29141104,0.13247335,-0.045316074,0.3784132,0.4390729,0.37331298,-0.37953115,0.29098418,0.020364724,0.00719297,0.22697437,0.02723131,0.32888266,0.2677267,0.0037205585,0.22188583,-0.2770003,-0.07136954,-0.27449325,-0.22613518,-0.083266705,0.31840435,-0.23033863,-0.08922227,0.12804103,0.10753952,0.21595903,0.11837979,0.4080646,0.1417133,0.070622325,-0.238275,0.57714534,0.3224445,0.14604399,-0.04435373,-0.055106647,-0.058552884
-0.19121547,0.3137954,0.082929924,0.07754988,0.043392114,-0.42817307,0.07350964,0.58805776,-0.17580003,-0.16457729,0.113986984,-0.10948375,-0.075307295,0.07876845,0.23309967,-0.048112955,0.2861318,-0.052257583,-0.26932812,-0.61366165,0.08044235,0.0692873,0.38863745,-0.18245316,-0.01790865,-0.17007177,-0.39739513,-0.116226435,-0.3343947,0.085484974,0.07737241,-0.059509102,0.23169716,-0.3953681,-0.053002905,0.04821779,0.11419836,-0.054656148,-0.2766814,-0.33193004,0.01882086,-0.19647548,-0.122151814,0.017363768,0.040790997,-0.2933453,-0.090701684,-0.07239184,0.22896709,0.31155008,0.12581238,-0.32688284,-0.2162207,-0.19181156,0.11425206,-0.1230849,0.21511798,0.02274906,-0.37258777,0.03307629,-0.06883588,-0.09385293,0.35401195,0.120911285,-0.11380595,0.4552299,0.3890363,0.31492043,-0.36665687,0.3143272,0.040192973,0.019971339,0.33045897,0.0127001675,0.25632706,0.22098573,-0.044987794,0.16393767,-0.23982295,-0.17483945,-0.19169517,-0.13067187,-0.12389607,0.49123925,-0.23919472,-0.060306523,0.0853329,0.1535597,0.2124767,0.16321352,0.46397963,0.20159015,0.07374472,-0.2141805,0.48665056,0.3591534,0.21046917,-0.06867385,-0.046341427,-0.081011504
-0.12846978,0.24310784,0.002549026,0.11365437,0.011389726,-0.4515336,0.043780703,0.50667095,-0.1570878,-0.115755916,0.04013489,-0.17752194,-0.0844905,0.09256459,0.14373158,-0.100227,0.18651493,-0.10769586,-0.23267812,-0.5387666,0.030139567,0.09432524,0.36046386,-0.24944992,-0.047244973,-0.15254699,-0.45352733,-0.06132103,-0.32720897,-0.021617988,0.13402052,-0.08184185,0.32541794,-0.30137438,-0.09422422,0.09976691,0.09270816,-0.08239285,-0.21871749,-0.29853117,0.09597194,-0.18148763,-0.117333725,0.031739417,0.058163844,-0.25796804,-0.10917653,-0.17203575,0.28597745,0.27210706,0.12351962,-0.32107332,-0.14546204,-0.04478398,0.11290813,-0.020211648,0.26958552,-0.037749328,-0.44951478,0.053988405,0.034381095,-0.0704388,0.30830947,0.08439333,-0.20052803,0.36073545,0.16219595,0.28431642,-0.25833395,0.22176443,-0.101424895,-0.005350121,0.4337706,0.04073248,0.17316703,0.20914215,-0.012317996,0.054507326,-0.27838576,-0.29284433,-0.25216505,-0.100212425,-0.23549537,0.58937925,-0.27143624,-0.08129879,0.10257521,0.044405684,0.19404687,0.25466147,0.32674688,0.28550935,0.11178513,-0.16369483,0.4213826,0.3038264,0.10568915,0.07141115,-0.040540982,-0.09601177
-0.16834623,0.3104533,0.056529462,0.04806744,0.11909202,-0.36881712,0.14864579,0.48974642,-0.1566004,-0.11694235,0.08629377,-0.18453534,-0.041120697,0.078308955,0.20884416,-0.071204655,0.2679297,0.058250718,-0.21066293,-0.5882825,0.0648469,0.12078308,0.38322556,-0.15820347,0.025497822,-0.18709183,-0.42505142,-0.08394789,-0.39206848,-0.03736227,0.09695645,-0.068421885,0.35026515,-0.36231396,-0.07865751,0.06978762,0.0057641477,0.020991089,-0.19407731,-0.27947626,0.07385166,-0.17694494,-0.14280535,0.04807733,0.015629055,-0.21033728,-0.0988941,-0.16441628,0.30071893,0.32471678,0.16261409,-0.33822522,-0.20963095,-0.26881877,0.09293873,-0.08529467,0.21792178,0.06257479,-0.3706193,-0.01497587,-0.048414353,-0.03960994,0.30215788,0.12680613,-0.13522038,0.42184892,0.26620874,0.33807436,-0.27794236,0.25144044,-0.025798118,-0.06931239,0.39719447,0.024208672,0.26305747,0.15272029,-0.027700571,0.0989032,-0.2726764,-0.11780685,-0.34032056,-0.13617375,-0.22269458,0.4854067,-0.19790417,-0.104512826,0.13336566,0.024302352,0.2659919,0.07173326,0.35437003,0.22333784,0.10832008,-0.1723561,0.44823304,0.29336423,0.15468134,0.06526756,-0.13101655,-0.16306022
-0.21383943,0.2947994,0.11257945,0.07557487,0.11112275,-0.37165508,0.18619488,0.45071724,-0.18537489,-0.13218363,0.10550166,-0.1773809,-0.04897645,0.06520958,0.16169402,-0.05277237,0.3069946,0.07037159,-0.17720257,-0.6012802,0.11245055,0.12549368,0.43626317,-0.18387368,0.016448952,-0.12551872,-0.4193799,-0.13253325,-0.34262127,-0.026174372,0.12156198,-0.016505037,0.3159882,-0.31751192,-0.06507924,0.12292167,0.050868053,-0.015883837,-0.21808533,-0.30921373,0.13100368,-0.19925734,-0.11492326,0.032166578,-0.014312708,-0.23410809,-0.084461816,-0.21073398,0.33181125,0.3292664,0.19988497,-0.2915883,-0.20058121,-0.23011425,-0.0029766771,-0.10363888,0.17761928,0.020675873,-0.34729224,-0.024320623,-0.046720646,-0.030821763,0.3045859,0.12556837,-0.07708013,0.40690616,0.27714056,0.262109,-0.28240877,0.20983955,-0.08321432,-0.039516196,0.3496361,0.032859366,0.22632353,0.17833799,-0.047645874,0.14264426,-0.28906426,-0.043537255,-0.3442448,-0.13937895,-0.20259947,0.42595312,-0.20812494,-0.07588516,0.19012634,-0.004433539,0.23287848,0.07555463,0.3568064,0.23618755,0.06143737,-0.21594597,0.4235458,0.29570943,0.11111447,0.0052698725,-0.13804056,-0.06914192
